,Beast,Shirt,Neck,Hat,Eyes,Best_Friend,Nemesis,Strength,Speed,Endurance,Intelligence,Wisdom,Charisma,Class,Element,Habitat,Attribute_X,Attribute_Y,Attribute Z,D_4_6_8_10_12_20
1814,Rabbit,,,Construction Helmet,,#8247,#1856,14,15,17,15,10,15,Mage,Fire,Swamp,18,56,5,"4, 4, 2, 2, 12, 14"
1815,Dog,Red Tank,,Top Hat,,#7080,#2954,14,13,11,12,14,12,Thief,Fire,Swamp,7,38,8,"1, 5, 1, 3, 8, 20"
1816,Monkey,Fancy Robe,,Ribbon,Pink Goggles,#9206,#4340,9,12,14,10,12,14,Thief,Air,Swamp,75,59,1,"1, 6, 1, 3, 5, 8"
1817,Pink Bear,Suit,,Brown Hat,,#7419,#8608,12,11,12,8,15,9,Mage,Earth,Mountain,64,63,1,"1, 5, 6, 9, 6, 12"
1818,Panda,Flannel,,Wizard Hat,,#3630,#2333,8,12,15,12,11,12,Thief,Air,Swamp,21,44,1,"2, 1, 5, 2, 10, 18"
1819,Lion,Royal Coat,,Witches Hat,Eyepatch,#2970,#8590,12,13,14,15,10,12,Thief,Air,Forest,99,46,1,"4, 3, 5, 3, 11, 3"
1820,Pig,Brown Jacket,,,,#9507,#4260,15,14,9,9,10,14,Mage,Fire,Mountain,22,36,1,"1, 1, 3, 1, 12, 11"
1821,Blue Cat,Pink Dress,,Green Bow,Eyepatch,#4230,#4886,10,16,9,12,14,13,Warrior,Earth,Mountain,52,51,41,"2, 1, 6, 7, 4, 14"
1822,Siberian Tiger,Green Tee,,Top Hat,,#1943,#9542,13,8,16,13,10,14,Thief,Air,Swamp,58,45,16,"1, 3, 2, 9, 11, 19"
1823,Snek,,,Pink Fairy Hat,Eyepatch,#8036,#0558,13,13,9,16,16,8,Warrior,Earth,Plains,50,60,1,"1, 3, 3, 5, 10, 7"
1824,Red Hair Lion,Suit,,Viking Helmet,,#5263,#0487,10,6,12,9,15,17,Warrior,Fire,Island,68,54,7,"2, 4, 2, 5, 3, 11"
1825,Black Bear,Puffy Jacket,,Viking Helmet,,#6619,#7679,9,12,16,11,11,16,Warrior,Earth,Mountain,51,49,18,"2, 4, 3, 5, 3, 11"
1826,Black Bear,Suit,,Straw Hat,,#9627,#6336,12,9,7,15,13,12,Thief,Earth,Swamp,80,54,2,"4, 6, 3, 8, 7, 13"
1827,Deer,White Tee,,,,#6103,#4031,11,8,8,14,13,9,Warrior,Fire,Mountain,13,58,3,"4, 2, 2, 2, 3, 5"
1828,Purple Cat,Blue Tee,Bow Tie,Brown Hat,,#5251,#2115,16,17,10,12,12,11,Thief,Air,Plains,81,40,3,"4, 4, 8, 6, 5, 8"
1829,Lion,Red Tank,Bow Tie,Viking Helmet,,#3517,#0181,12,8,11,14,15,14,Mage,Earth,Mountain,89,61,12,"4, 2, 2, 8, 11, 5"
1830,Dog,Fancy Robe,,Pink Fairy Hat,,#4328,#0676,14,16,14,13,11,9,Mage,Earth,Swamp,4,54,32,"4, 6, 2, 9, 1, 12"
1831,Turtle,Black Jacket,,,,#6718,#1281,11,9,14,13,11,13,Thief,Earth,Forest,84,57,33,"4, 3, 3, 1, 2, 20"
1832,Purple Cat,Toga,,Blue Party Hat,Pink Goggles,#5622,#1391,13,17,15,11,15,14,Warrior,Air,Mountain,14,60,13,"1, 4, 5, 2, 8, 9"
1833,Monkey,Brown Robe,,Leaf Crown,Eyepatch,#6377,#6868,18,11,14,10,15,8,Mage,Earth,Plains,49,48,11,"3, 2, 1, 3, 9, 17"
1834,Pink Bear,Scarf and Sweater,,Straw Hat,Eyepatch,#5752,#4353,10,14,10,12,17,9,Mage,Fire,Island,12,46,11,"3, 2, 1, 2, 3, 7"
1835,Dog,Red Tee,,,Pink Goggles,#3571,#0119,15,7,15,13,8,10,Warrior,Fire,Forest,35,42,4,"4, 2, 5, 6, 11, 13"
1836,Sheep,White Shirt,,Straw Hat,Eyepatch,#7014,#8239,16,11,13,11,13,11,Mage,Air,Mountain,56,24,3,"1, 2, 5, 6, 2, 13"
1837,Jackalope,,,,,#4012,#7859,14,13,12,11,15,11,Mage,Air,Plains,78,37,3,"2, 1, 3, 7, 12, 4"
1838,Duck,,,Pink Fairy Hat,Purple Hero Mask,#9236,#3863,11,18,11,14,12,14,Thief,Water,Island,26,51,5,"4, 1, 2, 6, 6, 17"
1839,Cardinal,,,Brown Hat,Pink Goggles,#7466,#7376,13,13,13,14,14,16,Mage,Water,Plains,69,31,1,"2, 3, 4, 1, 10, 8"
1840,Monkey,Brown Jacket,,,,#2381,#9152,11,13,13,15,9,11,Thief,Fire,Plains,100,58,10,"2, 3, 3, 1, 6, 13"
1841,Seagull,,,Green Party Hat,Eyepatch,#6015,#4597,8,9,10,11,9,9,Mage,Fire,Plains,55,39,16,"4, 2, 7, 6, 5, 2"
1842,Purple Dragon,Green Tee,,,,#4171,#2750,9,13,15,10,9,8,Mage,Fire,Plains,34,55,4,"3, 2, 5, 6, 2, 12"
1843,Purple Cat,Toga,,Top Hat,,#2254,#3026,11,9,11,10,16,13,Thief,Earth,Forest,15,56,1,"3, 2, 6, 5, 3, 16"
1844,Black Sheep,Bee Costume,,Purple Top Hat,Pink Goggles,#9202,#0490,11,9,13,16,10,7,Mage,Earth,Mountain,46,59,15,"4, 1, 2, 2, 11, 11"
1845,Black Sheep,Overalls,,Green Top Hat,,#0389,#7826,12,12,10,16,14,10,Warrior,Water,Swamp,13,52,12,"1, 1, 4, 5, 12, 15"
1846,Hippo,Red Tee,,Brown Hat,,#8120,#6614,11,9,14,10,16,12,Mage,Water,Mountain,37,41,3,"3, 2, 4, 10, 3, 2"
1847,Red Hair Lion,,Bow Tie,Straw Hat,Goggles,#9223,#4948,7,13,9,12,10,12,Thief,Earth,Mountain,32,60,8,"3, 4, 5, 10, 5, 19"
1848,Elephant,Red Track Jacket,,Brown Hat,,#6652,#7948,10,11,11,16,14,16,Thief,Fire,Plains,76,32,1,"1, 2, 2, 10, 3, 8"
1849,Bear,Scarf and Sweater,,Chefs Hat,,#3596,#7426,16,15,13,13,14,12,Warrior,Fire,Island,66,64,5,"3, 3, 8, 9, 12, 4"
1850,Black Bear,Blazer Tee,,Brown Hat,Eyepatch,#6902,#1577,11,12,13,11,18,10,Thief,Earth,Island,62,46,3,"1, 6, 7, 5, 11, 14"
1851,Siberian Tiger,Puffy Jacket,,Halo,,#1205,#7585,9,13,18,11,12,13,Warrior,Water,Forest,40,43,11,"3, 3, 6, 5, 11, 5"
1852,Elephant,,,,,#3973,#3084,12,11,10,13,11,14,Mage,Fire,Island,39,35,1,"1, 3, 1, 8, 2, 17"
1853,Siberian Tiger,White Tee,,Straw Hat,,#1325,#3879,12,8,10,9,18,8,Warrior,Air,Island,77,57,2,"3, 3, 2, 8, 11, 2"
1854,Bear,Overalls,,Brown Hat,Monocle,#2236,#3238,11,8,16,11,17,14,Warrior,Water,Swamp,61,64,5,"3, 1, 8, 3, 5, 19"
1855,Siberian Tiger,Toga,,Straw Hat,,#9329,#4822,13,10,14,13,10,14,Mage,Fire,Swamp,50,62,1,"3, 5, 7, 8, 4, 13"
1856,Turtle,Blue Tank,,,Sunglasses,#3411,#1814,7,10,16,12,8,10,Mage,Air,Swamp,83,46,3,"4, 6, 8, 10, 11, 19"
1857,Purple Cat,Red Track Jacket,,Wizard Hat,,#1900,#7992,9,16,17,13,14,15,Thief,Air,Forest,2,43,4,"3, 4, 1, 1, 11, 13"
1858,Dog,Royal Coat,,Brown Hat,Purple Hero Mask,#2841,#3329,16,12,13,15,10,13,Mage,Earth,Forest,19,36,2,"1, 6, 2, 8, 10, 6"
1859,Turtle,Red Track Jacket,,Blue Party Hat,,#8952,#4230,15,14,9,16,10,13,Warrior,Fire,Swamp,17,33,17,"1, 1, 2, 1, 5, 8"
1860,Rabbit,Suit,,Brown Hat,Little Glasses,#2310,#2474,17,9,9,9,14,13,Thief,Air,Mountain,1,39,7,"3, 4, 3, 2, 5, 9"
1861,Brown Dog,Red Tank,,Pink Fairy Hat,,#5047,#6749,11,14,10,13,13,13,Thief,Air,Plains,62,52,10,"3, 2, 7, 4, 10, 16"
1862,Hippo,Black Jacket,,Pink Cowboy Hat,Eyepatch,#6437,#3787,15,6,9,13,14,9,Mage,Earth,Swamp,20,58,2,"4, 2, 8, 3, 2, 4"
1863,Seagull,,,Pink Cowboy Hat,,#1881,#9290,14,15,6,11,7,13,Thief,Air,Island,3,35,38,"1, 3, 4, 7, 1, 19"
1864,Pig,,,Straw Hat,Little Glasses,#7484,#3267,9,13,11,12,15,15,Mage,Air,Forest,23,42,10,"4, 3, 2, 9, 5, 10"
1865,Black Bear,Fancy Robe,,Purple Top Hat,Pink Goggles,#7993,#6024,13,16,12,15,9,17,Thief,Water,Forest,34,56,9,"1, 1, 2, 4, 5, 8"
1866,Green Hair Lion,,,Top Hat,,#9942,#9618,12,15,12,11,17,14,Thief,Air,Forest,27,61,6,"1, 1, 7, 10, 12, 19"
1867,Dog,,,Straw Hat,,#8490,#6323,16,11,9,13,9,13,Mage,Earth,Plains,91,59,16,"4, 6, 5, 10, 9, 5"
1868,Crow,,,Crown,,#7327,#6605,14,15,13,11,16,18,Warrior,Fire,Mountain,95,31,10,"4, 1, 5, 3, 6, 9"
1869,Sheep,Blue Tee,,Witches Hat,Sunglasses,#1293,#7499,12,10,13,13,14,8,Warrior,Air,Island,22,48,5,"1, 4, 8, 9, 6, 17"
1870,Hippo,Green Dress,,Straw Hat,,#8496,#6737,11,11,16,12,12,18,Mage,Air,Mountain,53,48,7,"3, 6, 7, 5, 8, 19"
1871,Monkey,Blue Tank,,Purple Top Hat,,#3009,#3797,8,8,17,11,11,17,Warrior,Earth,Forest,73,41,8,"2, 2, 7, 7, 12, 7"
1872,Pig,Green Dress,,Brown Hat,Sunglasses,#1480,#4444,9,13,11,13,13,11,Thief,Water,Forest,53,37,16,"4, 1, 7, 9, 9, 14"
1873,Purple Hair Lion,Toga,,,Eyepatch,#8926,#9513,6,10,9,12,17,14,Thief,Earth,Plains,26,39,1,"2, 1, 1, 4, 7, 3"
1874,Purple Monkey,Red Tee,,Blue Party Hat,Pink Goggles,#8973,#8456,12,11,11,15,12,18,Thief,Earth,Mountain,98,45,10,"3, 1, 8, 9, 11, 12"
1875,Hippo,Toga,,,,#5233,#1147,13,17,11,13,11,10,Mage,Fire,Mountain,80,64,2,"3, 3, 5, 8, 12, 20"
1876,Panda,White Tee,,Chefs Hat,Monocle,#5488,#3089,9,16,15,12,12,10,Mage,Fire,Swamp,25,54,4,"4, 3, 8, 9, 2, 19"
1877,Bear,Green Tee,Gold Chain,Green Party Hat,,#4857,#9168,12,18,10,14,12,17,Mage,Fire,Forest,50,54,15,"2, 2, 2, 8, 9, 4"
1878,Black Bear,Blue Tank,,Pink Fairy Hat,,#3226,#6690,9,13,12,14,13,13,Mage,Water,Island,16,58,1,"3, 3, 4, 8, 1, 1"
1879,Panda,Overalls,,Blue Party Hat,,#5052,#5937,15,15,13,10,16,16,Warrior,Air,Island,9,62,6,"2, 2, 8, 3, 3, 7"
1880,Black Sheep,Brown Jacket,,Green Party Hat,,#4649,#2666,14,4,10,17,14,12,Warrior,Air,Island,90,52,42,"4, 1, 6, 10, 6, 10"
1881,Elephant,Suit,,Ribbon,Pink Goggles,#1863,#5709,9,14,12,12,12,13,Warrior,Fire,Plains,99,41,21,"2, 3, 6, 4, 4, 1"
1882,Rhino,Purple Robe,,,Eyepatch,#0844,#5575,16,8,14,13,18,12,Thief,Fire,Mountain,82,70,29,"1, 1, 1, 6, 7, 12"
1883,Seagull,,,Witches Hat,,#0577,#7783,12,11,10,8,11,16,Mage,Earth,Plains,73,39,11,"3, 6, 5, 9, 12, 1"
1884,Green Cat,White Shirt,,Tiara,,#6141,#9258,14,8,13,11,15,12,Mage,Air,Mountain,90,44,1,"2, 2, 6, 4, 1, 15"
1885,Bear,Toga,,Chefs Hat,,#3555,#5724,12,10,12,9,12,12,Mage,Air,Plains,33,46,2,"2, 2, 5, 4, 12, 3"
1886,Panda,Brown Robe,,Tiara,,#9898,#1450,14,16,17,14,11,16,Thief,Water,Forest,28,82,8,"2, 2, 5, 6, 8, 8"
1887,Hippo,,Bow Tie,Straw Hat,,#7839,#8350,13,11,13,14,16,10,Warrior,Earth,Mountain,75,58,7,"3, 5, 7, 2, 10, 3"
1888,Brown Dog,White Tank,Bow Tie,Pink Fairy Hat,3D Glasses,#7210,#4456,14,11,11,16,13,13,Mage,Water,Mountain,67,45,3,"4, 5, 2, 10, 6, 10"
1889,Fox,Royal Coat,,Green Bow,,#6639,#7693,17,9,13,13,10,13,Thief,Fire,Island,49,56,18,"1, 4, 5, 4, 4, 12"
1890,Lion,Black Hoodie,,Brown Hat,,#7806,#6397,11,15,11,17,16,7,Warrior,Water,Island,51,57,16,"4, 3, 4, 3, 12, 3"
1891,Pig,Toga,,Purple Top Hat,Purple Hero Mask,#8769,#1782,16,11,15,13,13,16,Warrior,Water,Plains,95,43,7,"2, 1, 7, 4, 3, 7"
1892,Turtle,Royal Coat,,Purple Top Hat,Pink Goggles,#7790,#0900,14,11,13,12,12,11,Warrior,Air,Forest,13,61,1,"4, 6, 2, 9, 6, 9"
1893,Dog,,Bow Tie,Viking Helmet,,#8697,#9431,9,15,11,12,16,12,Thief,Fire,Plains,3,58,6,"3, 4, 1, 10, 3, 5"
1894,Black Sheep,Fancy Robe,,Green Top Hat,Sunglasses,#0161,#2257,14,14,11,11,13,13,Thief,Earth,Plains,46,52,15,"4, 2, 8, 6, 3, 3"
1895,Blue Cat,Suit,,Green Party Hat,Pink Goggles,#1397,#4886,15,10,13,12,13,10,Warrior,Air,Plains,44,57,3,"1, 5, 2, 3, 10, 11"
1896,Monkey,Overalls,,Green Party Hat,,#7398,#6962,13,14,11,14,13,16,Mage,Air,Swamp,57,57,24,"1, 5, 7, 3, 10, 15"
1897,Green Cat,Green Tee,,Ribbon,Eyepatch,#0601,#6810,12,15,14,9,7,14,Mage,Water,Swamp,82,75,5,"4, 3, 7, 2, 10, 6"
1898,Black Sheep,,,Green Party Hat,Sunglasses,#7449,#4494,12,7,15,13,15,15,Thief,Air,Plains,28,53,23,"1, 4, 4, 3, 9, 15"
1899,Turtle,Scarf and Sweater,,Brown Hat,Sunglasses,#9151,#8176,11,16,13,7,12,8,Warrior,Earth,Swamp,51,45,14,"3, 2, 2, 2, 2, 16"
1900,Purple Monkey,White Tee,,Viking Helmet,Sunglasses,#1857,#5732,15,9,10,15,15,12,Warrior,Water,Swamp,71,53,1,"2, 5, 6, 9, 2, 10"
1901,Dog,Suit,,,Eyepatch,#3897,#0392,15,11,13,13,13,18,Mage,Air,Mountain,82,58,3,"1, 1, 6, 3, 8, 16"
1902,Black Sheep,Puffy Jacket,,Pink Cowboy Hat,,#5616,#6658,9,11,16,10,10,13,Warrior,Fire,Mountain,96,61,19,"3, 2, 4, 1, 2, 9"
1903,Green Cat,Red Track Jacket,,,,#8144,#7000,13,13,13,11,12,13,Warrior,Fire,Forest,25,62,4,"3, 6, 6, 9, 2, 16"
1904,Panda,Red Tank,,Purple Top Hat,,#9117,#6731,15,16,10,12,11,11,Warrior,Fire,Plains,74,71,4,"2, 2, 5, 7, 8, 19"
1905,Dog,Blue Track Jacket,,Brown Hat,Purple Hero Mask,#6576,#8035,12,10,12,11,7,12,Warrior,Earth,Island,66,54,1,"4, 2, 8, 4, 3, 6"
1906,Green Cat,Brown Jacket,,Brown Hat,Eyepatch,#7805,#3740,11,10,10,10,11,15,Warrior,Air,Mountain,74,56,1,"2, 6, 5, 9, 12, 7"
1907,Tiger,Overalls,,Brown Hat,,#1473,#0437,14,11,15,15,12,9,Thief,Earth,Mountain,15,50,6,"2, 3, 2, 6, 1, 20"
1908,Dog,Toga,,Construction Helmet,,#8575,#5042,11,11,14,12,16,15,Mage,Fire,Forest,50,64,9,"1, 6, 8, 6, 4, 16"
1909,Bear,,,Straw Hat,,#4359,#5490,14,11,15,11,14,10,Mage,Water,Mountain,13,52,5,"1, 6, 2, 4, 3, 6"
1910,Black Sheep,Flannel,,Top Hat,3D Glasses,#1152,#5419,16,15,6,11,12,17,Mage,Air,Plains,89,53,10,"2, 4, 8, 5, 3, 20"
1911,Panda,Royal Coat,,Construction Helmet,,#7802,#9152,12,16,12,13,9,7,Warrior,Water,Mountain,22,48,12,"1, 5, 5, 6, 4, 8"
1912,Fox,Red Tank,,,Laser Eyes,#7604,#9104,17,13,14,14,11,10,Thief,Air,Mountain,17,55,8,"3, 4, 2, 7, 12, 6"
1913,Fox,Blue Tee,,Yellow Bow,Pink Goggles,#7509,#7387,17,16,11,11,13,17,Warrior,Water,Plains,99,55,10,"1, 3, 8, 7, 1, 16"
1914,Lion,White Tee,Gold Chain,Halo,3D Glasses,#0674,#2134,17,14,12,13,13,8,Thief,Fire,Island,6,36,52,"4, 4, 2, 8, 4, 11"
1915,Deer,Suit,,Blue Party Hat,,#2891,#2219,11,14,14,8,12,13,Thief,Fire,Plains,83,51,2,"3, 2, 4, 9, 5, 12"
1916,Rabbit,Toga,,Pink Fairy Hat,,#2101,#4668,13,14,10,13,18,12,Mage,Air,Swamp,94,40,7,"1, 5, 4, 1, 1, 3"
1917,Lion,Blue Track Jacket,,,Purple Hero Mask,#0381,#7349,14,6,14,12,12,11,Mage,Air,Mountain,100,46,25,"4, 4, 1, 7, 10, 20"
1918,Pink Bear,Puffy Jacket,,Wizard Hat,,#2235,#3738,12,15,11,13,7,10,Warrior,Fire,Forest,4,52,9,"1, 6, 7, 2, 11, 11"
1919,Pig,,,Wizard Hat,,#3601,#2269,7,11,7,9,11,10,Mage,Air,Island,55,56,2,"4, 6, 8, 5, 11, 2"
1920,Green Cat,Overalls,,Wizard Hat,,#1567,#4723,12,10,12,15,10,15,Mage,Fire,Forest,95,53,56,"4, 1, 3, 5, 8, 8"
1921,Purple Hair Lion,Red Track Jacket,,Top Hat,,#0736,#4568,13,10,17,14,13,6,Thief,Fire,Island,34,62,21,"4, 2, 8, 9, 4, 10"
1922,Bear,White Tee,Gold Chain,Brown Hat,,#5553,#8642,9,14,16,13,11,15,Warrior,Fire,Swamp,9,50,8,"1, 2, 6, 4, 4, 6"
1923,Black Bear,,,Pink Fairy Hat,,#8237,#8336,11,18,16,10,10,13,Mage,Air,Island,59,51,4,"3, 6, 1, 6, 7, 5"
1924,Monkey,Overalls,,Brown Hat,,#0109,#2891,14,8,13,15,8,14,Thief,Earth,Plains,18,57,1,"3, 6, 7, 10, 10, 8"
1925,Elephant,Red Track Jacket,,Construction Helmet,Eyepatch,#0918,#8313,14,9,14,13,13,11,Warrior,Earth,Island,14,56,33,"3, 2, 2, 4, 9, 15"
1926,Purple Monkey,Green Tee,,Straw Hat,Pink Goggles,#1638,#9282,11,13,15,16,12,14,Warrior,Water,Mountain,9,64,71,"1, 4, 8, 5, 4, 14"
1927,Polar Bear,Blue Tank,,,,#9859,#8616,13,10,15,16,9,16,Thief,Water,Plains,10,40,18,"3, 3, 8, 7, 7, 13"
1928,Deer,Green Tee,,Blue Bow,,#3615,#5003,13,16,10,12,15,14,Thief,Air,Forest,83,24,8,"3, 6, 8, 2, 4, 7"
1929,Black Bear,Bee Costume,,Ribbon,,#0503,#9642,9,13,10,16,12,10,Mage,Air,Island,31,41,12,"4, 6, 8, 2, 2, 15"
1930,Tiger,Green Dress,,Pink Fairy Hat,,#5057,#0842,12,9,14,16,13,14,Mage,Earth,Island,56,35,2,"4, 3, 8, 4, 9, 16"
1931,Fox,,Bow Tie,,,#2524,#3130,13,9,15,12,12,15,Warrior,Air,Mountain,14,48,7,"4, 5, 6, 2, 11, 13"
1932,Bear,,Gold Chain,Chefs Hat,,#9777,#1462,13,8,9,13,13,17,Mage,Fire,Island,20,56,8,"2, 1, 3, 8, 1, 20"
1933,Deer,Blazer Tee,,Brown Hat,,#1090,#4651,12,14,15,11,10,10,Warrior,Water,Swamp,33,56,5,"2, 2, 8, 3, 1, 16"
1934,Dog,Overalls,,Witches Hat,,#4637,#1115,11,12,17,11,17,13,Mage,Air,Island,56,61,3,"2, 3, 2, 7, 11, 19"
1935,Monkey,White Tank,Bow Tie,Top Hat,,#9640,#3011,12,16,12,18,14,15,Thief,Water,Plains,90,46,5,"4, 6, 7, 5, 12, 17"
1936,Cardinal,,,Crown,,#9922,#3577,13,16,15,13,14,13,Mage,Earth,Mountain,71,47,14,"4, 1, 5, 4, 9, 3"
1937,Dog,,Bow Tie,,,#6820,#2171,13,12,12,10,12,13,Warrior,Air,Island,18,59,24,"3, 6, 5, 5, 4, 19"
1938,Black Sheep,Red Tank,Gold Chain,Blue Bow,Pink Goggles,#0344,#3941,10,14,9,16,15,12,Warrior,Fire,Mountain,53,45,42,"2, 3, 5, 4, 3, 18"
1939,Purple Monkey,Red Tank,,Top Hat,Monocle,#8568,#9025,14,14,15,12,10,13,Warrior,Earth,Swamp,26,48,5,"2, 5, 6, 4, 12, 18"
1940,Pink Bear,,,Leaf Crown,,#9356,#6695,10,14,15,11,9,12,Warrior,Air,Island,89,31,21,"4, 2, 5, 1, 7, 14"
1941,Rhino,Blue Tee,Gold Chain,Pink Fairy Hat,,#8830,#3475,12,16,10,17,10,11,Mage,Earth,Swamp,26,48,12,"4, 6, 8, 6, 4, 20"
1942,Lion,Brown Jacket,,Pink Fairy Hat,Pink Goggles,#9478,#4542,12,12,16,9,14,14,Warrior,Earth,Island,75,47,5,"3, 3, 1, 7, 6, 6"
1943,Purple Cat,Brown Robe,,Pink Fairy Hat,,#1822,#5820,14,15,12,8,15,9,Warrior,Fire,Mountain,75,43,1,"1, 5, 6, 9, 3, 12"
1944,Purple Cat,,,Pink Fairy Hat,,#5446,#9995,10,14,17,9,14,16,Warrior,Air,Mountain,3,45,1,"3, 6, 7, 4, 4, 1"
1945,Dog,Blue Tee,,Green Party Hat,Eyepatch,#5097,#2459,15,9,11,9,14,12,Mage,Fire,Mountain,69,51,4,"1, 6, 4, 8, 4, 7"
1946,Golden Bear,Blue Track Jacket,,Straw Hat,Pink Goggles,#8453,#7825,10,16,13,18,13,11,Thief,Earth,Island,80,53,5,"2, 4, 4, 8, 1, 13"
1947,Panda,Green Dress,,Straw Hat,Eyepatch,#8262,#4060,16,13,9,11,10,8,Warrior,Air,Forest,26,48,13,"2, 5, 1, 5, 1, 3"
1948,Seagull,,,Blue Beanie,Pink Goggles,#8185,#4619,13,9,12,13,11,14,Thief,Fire,Plains,16,47,35,"4, 1, 7, 5, 3, 14"
1949,Duck,,,Viking Helmet,Pink Goggles,#8797,#7585,13,14,12,13,9,14,Warrior,Fire,Forest,93,53,17,"4, 2, 5, 8, 7, 16"
1950,Fox,White Tee,,Pink Fairy Hat,,#8178,#6792,8,10,13,13,11,12,Thief,Earth,Forest,44,52,10,"2, 6, 3, 4, 1, 8"
1951,Polar Bear,,,Tiara,Eyepatch,#7196,#4955,17,9,15,9,16,8,Thief,Water,Swamp,32,69,10,"3, 2, 2, 8, 5, 10"
1952,Fox,Suit,,Green Party Hat,Little Glasses,#7536,#6089,16,8,10,15,12,9,Warrior,Water,Forest,43,52,10,"3, 4, 5, 1, 5, 14"
1953,Black Sheep,Puffy Jacket,,Ribbon,,#8382,#9000,13,18,10,13,9,15,Thief,Air,Island,51,43,4,"3, 1, 3, 1, 2, 4"
1954,Pink Bear,Black Hoodie,,Top Hat,,#7058,#6004,11,8,14,17,12,13,Mage,Fire,Mountain,83,52,1,"2, 4, 1, 5, 11, 9"
1955,Siberian Tiger,Royal Coat,,,,#2833,#1772,14,12,14,13,10,14,Warrior,Water,Plains,76,62,7,"4, 2, 1, 3, 3, 12"
1956,Duck,,,Chefs Hat,,#3265,#9750,10,12,15,17,15,11,Warrior,Water,Plains,43,44,2,"4, 4, 6, 8, 2, 13"
1957,Golden Bear,,,Pink Fairy Hat,Pink Goggles,#5763,#8363,15,11,12,13,16,12,Mage,Fire,Island,25,56,3,"2, 5, 4, 5, 4, 16"
1958,Rhino,Bee Costume,,,Pink Goggles,#2121,#4179,8,14,13,12,15,12,Thief,Water,Swamp,20,49,15,"3, 3, 8, 1, 5, 12"
1959,Blue Cat,Blue Track Jacket,,Blue Bow,Eyepatch,#0165,#8219,10,12,17,13,11,12,Thief,Fire,Plains,16,43,7,"1, 6, 5, 6, 10, 5"
1960,Black Bear,White Tank,,Purple Top Hat,,#8876,#6998,13,11,12,11,11,17,Thief,Air,Forest,99,32,2,"3, 2, 3, 5, 4, 8"
1961,Panda,Blue Track Jacket,,Chefs Hat,,#4112,#9223,12,13,8,7,17,15,Thief,Water,Forest,92,52,8,"4, 1, 1, 4, 1, 9"
1962,Deer,Brown Jacket,,,Eyepatch,#8264,#6698,15,10,14,13,12,13,Mage,Air,Mountain,50,53,8,"2, 3, 7, 4, 8, 20"
1963,Seagull,,,Lightbulb,,#5567,#4578,11,12,12,13,13,14,Thief,Water,Mountain,70,54,8,"2, 4, 2, 2, 7, 12"
1964,Snek,,,Top Hat,Goggles,#7240,#7005,10,13,11,6,10,16,Warrior,Water,Plains,8,49,1,"3, 2, 1, 1, 10, 1"
1965,Deer,White Tee,,Ribbon,Sunglasses,#9042,#2840,11,11,12,11,10,13,Warrior,Air,Plains,53,31,4,"4, 3, 2, 5, 6, 1"
1966,Monkey,Suit,,Straw Hat,Purple Hero Mask,#0983,#4771,12,13,13,15,16,13,Warrior,Earth,Swamp,45,48,20,"4, 1, 2, 10, 9, 4"
1967,Pig,White Shirt,,Construction Helmet,,#7042,#0470,10,14,17,9,14,12,Thief,Earth,Swamp,56,42,18,"2, 2, 8, 1, 11, 8"
1968,Turtle,Toga,,Ribbon,,#2620,#0861,10,12,5,12,9,10,Thief,Water,Swamp,85,67,8,"2, 2, 1, 1, 12, 6"
1969,Poison Snek,,,Chefs Hat,,#2721,#5514,15,8,13,14,14,11,Mage,Air,Forest,55,45,6,"1, 2, 4, 7, 1, 14"
1970,Tiger,White Tee,,Top Hat,,#0269,#3394,13,15,10,13,13,17,Thief,Fire,Island,66,58,7,"4, 5, 5, 6, 2, 7"
1971,Dog,Royal Coat,,Crown,Eyepatch,#8263,#1075,14,13,12,11,14,12,Warrior,Air,Swamp,30,38,3,"2, 4, 2, 3, 3, 2"
1972,Siberian Tiger,Red Track Jacket,,,,#3258,#0397,14,11,14,11,11,15,Thief,Fire,Mountain,73,75,2,"1, 4, 7, 4, 4, 17"
1973,Rhino,Puffy Jacket,,Tiara,,#3342,#7517,14,14,12,13,11,13,Mage,Fire,Swamp,83,63,1,"2, 3, 4, 3, 2, 18"
1974,Bear,Blue Tee,,Brown Hat,,#1786,#2188,15,10,11,10,8,12,Thief,Fire,Island,81,58,15,"2, 4, 3, 8, 9, 8"
1975,Tiger,Suit,,,,#0225,#9533,9,9,12,13,11,14,Warrior,Fire,Plains,26,49,2,"1, 3, 8, 6, 5, 9"
1976,Fox,Red Tank,Bow Tie,Pink Fairy Hat,,#8409,#5062,10,9,14,16,15,14,Thief,Earth,Mountain,18,24,1,"3, 6, 2, 7, 12, 8"
1977,Bear,Green Dress,,Tiara,Pink Goggles,#0060,#8215,13,15,15,14,9,9,Warrior,Fire,Mountain,42,62,6,"1, 1, 8, 6, 9, 11"
1978,Crow,,,Halo,,#0977,#6196,16,8,10,8,15,13,Thief,Earth,Plains,28,48,32,"1, 1, 2, 1, 5, 11"
1979,Golden Bear,Brown Jacket,,Green Bow,Pink Goggles,#5686,#8028,12,17,15,12,6,9,Thief,Fire,Island,38,51,1,"3, 5, 3, 3, 10, 8"
1980,Blue Cat,Brown Jacket,,Leaf Crown,Green Hero Mask,#2812,#3141,13,16,9,11,13,12,Thief,Water,Island,44,57,4,"3, 3, 8, 10, 9, 3"
